Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
795,Abattoir process worker; Meat process worker; Meatworker - meatworker's labourer,Female,5961.00,36359.00,,,,
881,Abattoir process worker; Meat process worker; Meatworker - meatworker's labourer,Male,17241.00,40954.00,,,,
699,Aboriginal and Torres Strait Islander education worker,Female,1386.00,40926.00,,,,
828,Aboriginal and Torres Strait Islander education worker,Male,636.00,44077.00,,,,
641,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker,Female,1878.00,43545.00,,,,
760,Aboriginal and Torres Strait Islander health liaison officer; Aboriginal and Torres Strait Islander health worker,Male,903.00,47833.00,,,,
200,Accountant; Bank accountant; Chartered accountant; Financial analyst,Female,78380.00,71552.00,,,,
136,Accountant; Bank accountant; Chartered accountant; Financial analyst,Male,77112.00,105107.00,,,,
157,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager - other practice; Veterinary practice manager,Female,28263.00,77421.00,,,,
99,Accounting practice manager; Architectural practice manager; Legal practice manager; Manager - other practice; Veterinary practice manager,Male,46486.00,115908.00,,,,
577,Accounts clerk; Finance officer,Female,81718.00,47153.00,,,,
508,Accounts clerk; Finance officer,Male,16628.00,64667.00,,,,
827,Actor,Female,2670.00,34736.00,,,,
936,Actor,Male,3481.00,36624.00,,,,
491,Actuarial clerk; Statistical clerk Clerical and office,Female,614.00,51681.00,,,,
532,Actuarial clerk; Statistical clerk Clerical and office,Male,498.00,62893.00,,,,
35,Actuary,Female,577.00,136819.00,,,,
45,Actuary,Male,1208.00,196144.00,,,,
801,Acupuncturist,Female,208.00,35944.00,,,,
829,Acupuncturist,Male,139.00,43983.00,,,,
639,Administration assistant; Office worker,Female,293738.00,43604.00,,,,
803,Administration assistant; Office worker,Male,36889.00,45784.00,,,,
566,Administrative service officer - levels 1-2; Public servant - administrative service officer - levels 1-2,Female,26782.00,47529.00,,,,
592,Administrative service officer - levels 1-2; Public servant - administrative service officer - levels 1-2,Male,6992.00,58373.00,,,,
433,Administrative service officer - levels 3-4; Public servant - administrative service officer - levels 3-4,Female,44509.00,54990.00,,,,
492,Administrative service officer - levels 3-4; Public servant - administrative service officer - levels 3-4,Male,14636.00,65541.00,,,,
267,Administrative service officer - levels 5-6; Program or project administrator; Public servant - administrative service officer - levels 5-6,Female,64080.00,64863.00,,,,
259,Administrative service officer - levels 5-6; Program or project administrator; Public servant - administrative service officer - levels 5-6,Male,31434.00,85567.00,,,,
669,Admissions clerk,Female,5667.00,42435.00,,,,
776,Admissions clerk,Male,899.00,47179.00,,,,
206,Advertising director; Advertising manager,Female,3507.00,70895.00,,,,
139,Advertising director; Advertising manager,Male,2614.00,104132.00,,,,
378,Advertising specialist; Media planner,Female,2871.00,58258.00,,,,
392,Advertising specialist; Media planner,Male,1709.00,73201.00,,,,
923,Aerobics instructor; Fitness instructor; Gym instructor,Female,9978.00,31358.00,,,,
957,Aerobics instructor; Fitness instructor; Gym instructor,Male,6079.00,35808.00,,,,
169,Aeronautical engineer,Female,182.00,75029.00,,,,
165,Aeronautical engineer,Male,2280.00,99207.00,,,,
185,Aeroplane pilot,Female,626.00,73412.00,,,,
71,Aeroplane pilot,Male,8281.00,133526.00,,,,
903,Aged or disabled carer; Home companion; Respite carer,Female,103676.00,32044.00,,,,
925,Aged or disabled carer; Home companion; Respite carer,Male,18884.00,37642.00,,,,
614,Agent - travel; Travel agent or consultant,Female,15796.00,44876.00,,,,
661,Agent - travel; Travel agent or consultant,Male,3467.00,53365.00,,,,
341,Agricultural engineer,Female,36.00,60195.00,,,,
352,Agricultural engineer,Male,348.00,76288.00,,,,
465,Agricultural field officer,Female,640.00,52744.00,,,,
487,Agricultural field officer,Male,1598.00,65808.00,,,,
