Quarter,Year,Units sold (in millions)
Q3,2007,0.27
Q4,2007,1.12
Q1,2008,2.32
Q2,2008,1.7
Q3,2008,0.72
Q4,2008,6.89
Q1,2009,4.36
Q2,2009,3.79
Q3,2009,5.21
Q4,2009,7.37
Q1,2010,8.74
Q2,2010,8.75
Q3,2010,8.4
Q4,2010,14.1
Q1,2011,16.24
Q2,2011,18.65
Q3,2011,20.34
Q4,2011,17.07
Q1,2012,37.04
Q2,2012,35.06
Q3,2012,26.03
Q4,2012,26.91
Q1,2013,47.79
Q2,2013,37.43
Q3,2013,31.24
Q4,2013,33.8
Q1,2014,51.03
Q2,2014,43.72
Q3,2014,35.2
Q4,2014,39.27
Q1,2015,74.47
Q2,2015,61.17
Q3,2015,47.53
Q4,2015,48.05
Q1,2016,74.78
Q2,2016,51.19
Q3,2016,40.4
Q4,2016,45.51
