Category,For,Metric,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
People,Significant other/Spouse,Percent Buying,91.10%,90.70%,90.80%,89.70%,89.20%,89.40%,91.10%,91.10%,91.00%,90.80%
People,Significant other/Spouse,Net Average Spend,80.29,79.99,67.22,63.34,68.98,74.12,73.75,78.09,87.94,89.86
People,"Other family members (children, parents, etc.)",Percent Buying,64.20%,62.40%,60.50%,60.80%,59.80%,60.60%,60.20%,59.40%,58.70%,55.90%
People,"Other family members (children, parents, etc.)",Net Average Spend,25.00,23.89,20.95,20.94,22.68,25.25,26.46,25.22,26.26,27.79
People,Friends,Percent Buying,26.20%,24.10%,21.60%,22.70%,22.50%,24.60%,25.20%,21.70%,22.30%,20.70%
People,Friends,Net Average Spend,4.93,5.75,4.74,5.37,6.30,6.92,8.49,7.54,7.16,7.47
People,Children�s classmates/teachers,Percent Buying,19.60%,18.30%,18.00%,18.60%,18.30%,20.70%,20.50%,20.40%,22.20%,19.50%
People,Children�s classmates/teachers,Net Average Spend,3.35,4.05,3.59,4.29,4.97,5.81,6.00,6.37,6.30,7.08
People,Co-workers,Percent Buying,12.00%,11.60%,9.40%,9.60%,10.40%,11.50%,13.20%,12.10%,12.40%,10.80%
People,Co-workers,Net Average Spend,2.40,3.02,1.94,2.84,3.41,3.73,5.12,6.52,4.71,5.83
People,Pets,Percent Buying,,17.20%,17.00%,17.30%,18.20%,19.90%,20.00%,19.40%,21.20%,19.30%
People,Pets,Net Average Spend,,2.65,2.17,3.27,5.04,4.52,5.72,5.51,5.28,5.07
People,Other,Percent Buying,10.30%,6.80%,6.20%,6.80%,7.40%,8.70%,9.90%,8.60%,9.20%,7.20%
People,Other,Net Average Spend,3.69,3.63,1.90,2.95,4.83,5.68,5.43,4.67,4.66,3.74
Gifts,Candy,Percent Buying,,,,47.20%,47.50%,50.50%,51.00%,48.70%,53.20%,50.00%
Gifts,Candy,Net Average Spend,,,,8.6,10.75,10.85,11.64,10.8,12.7,13.11
Gifts,Flowers,Percent Buying,,,,35.60%,34.30%,36.00%,36.60%,37.30%,37.80%,36.40%
Gifts,Flowers,Net Average Spend,,,,12.33,12.62,13.49,13.48,15,15.72,14.78
Gifts,Jewelry,Percent Buying,,,,15.50%,17.30%,18.90%,19.70%,18.90%,21.10%,19.90%
Gifts,Jewelry,Net Average Spend,,,,21.52,26.18,29.6,30.94,30.58,36.3,33.11
Gifts,Greeting Cards,Percent Buying,,,,54.90%,52.10%,52.00%,54.70%,51.20%,51.40%,47.90%
Gifts,Greeting Cards,Net Average Spend,,,,5.91,8.09,6.93,8.32,7.97,7.87,8.52
Gifts,An evening out,Percent Buying,,,,35.60%,34.60%,35.60%,36.20%,37.00%,35.10%,38.30%
Gifts,An evening out,Net Average Spend,,,,23.76,24.86,25.66,27.93,27.48,27.27,33.46
Gifts,Clothing,Percent Buying,,,,14.40%,14.40%,14.60%,15.60%,15.80%,16.30%,17.20%
Gifts,Clothing,Net Average Spend,,,,10.93,12,10.42,11.46,13.37,14.72,15.05
Gifts,Gift card/gift certificate,Percent Buying,,,,11.20%,12.60%,13.30%,15.00%,14.00%,14.80%,15.40%
Gifts,Gift card/gift certificate,Net Average Spend,,,,8.42,11.21,8.43,10.23,9,11.05,12.52
