Country,Year,Area in 1000ha,Harvested production in 1000t,Yield (100 kg/ha),Main area (1000 ha)
Belgium,2010,,"3,455.80",,81.76
Bulgaria,2010,13.80,251.20,181.93,13.80
Czech Republic,2010,27.08,665.18,245.60,27.08
Denmark,2010,38.40,"1,357.80",353.00,38.40
Germany,2010,254.37,"10,143.09",398.80,254.37
Estonia,2010,6.10,110.20,180.50,6.10
Ireland,2010,12.20,419.61,344.00,12.20
Greece,2010,31.35,925.54,295.22,31.35
Spain,2010,77.42,"2,297.60",289.34,77.42
France,2010,157.08,"6,622.04",413.95,157.82
Croatia,2010,10.95,178.61,,12.04
Italy,2010,62.40,"1,558.03",229.91,72.17
Cyprus,2010,4.26,82.00,192.71,4.26
Latvia,2010,,,,
Lithuania,2010,36.20,471.10,160.00,37.10
Luxembourg,2010,0.62,19.53,317.40,0.62
Hungary,2010,20.79,488.41,217.32,22.82
Malta,2010,0.71,15.54,,0.70
Netherlands,2010,156.97,"6,843.53",417.00,158.27
Austria,2010,21.97,671.72,305.70,21.97
Poland,2010,388.30,"8,187.70",179.00,388.30
Portugal,2010,25.53,383.84,150.34,24.19
Romania,2010,247.19,"3,283.87",132.85,241.35
Slovenia,2010,4.13,101.21,245.40,4.13
Slovakia,2010,10.99,125.92,147.50,11.52
Finland,2010,25.20,659.10,223.20,25.10
Sweden,2010,27.20,816.30,300.10,
United Kingdom,2010,138.00,"6,046.00",438.00,138.00
Iceland,2010,,,,
Liechtenstein,2010,,,,
Norway,2010,13.00,333.00,252.00,
Switzerland,2010,10.87,421.10,,10.87
Montenegro,2010,1.21,17.72,146.00,1.21
Macedonia,2010,13.40,202.33,151.01,13.04
Albania,2010,9.00,208.00,,9.00
Serbia,2010,52.84,887.36,,
Turkey,2010,141.00,"4,548.00",,
Bosnia and Herzegovina,2010,36.45,378.71,104.50,36.00
Kosovo,2010,3.80,87.40,232.30,
Belgium,2011,82.34,"4,128.67",464.50,82.34
Bulgaria,2011,16.22,232.31,142.40,16.85
Czech Republic,2011,26.45,805.33,304.50,26.45
Denmark,2011,41.60,"1,620.20",389.00,41.60
Germany,2011,258.70,"11,837.20",457.60,258.70
Estonia,2011,6.00,110.60,185.00,6.00
Ireland,2011,10.35,356.07,344.00,10.35
Greece,2011,28.45,757.82,266.35,28.45
Spain,2011,79.87,"2,455.08",300.62,79.87
France,2011,158.64,"7,440.22",462.01,158.24
Croatia,2011,10.88,167.52,,11.36
Italy,2011,61.60,"1,536.85",25.63,61.31
Cyprus,2011,5.07,126.08,248.92,5.07
Latvia,2011,14.40,246.80,170.00,29.70
Lithuania,2011,37.30,581.00,140.00,37.70
Luxembourg,2011,0.64,19.68,309.90,0.64
Hungary,2011,20.97,600.12,263.69,21.85
Malta,2011,0.70,18.92,,0.70
Netherlands,2011,159.23,"7,333.00",460.00,159.69
Austria,2011,22.85,816.07,357.10,22.85
Poland,2011,393.00,"9,111.00",205.00,393.00
Portugal,2011,26.50,389.80,147.09,25.07
Romania,2011,248.35,"4,076.57",164.14,242.64
Slovenia,2011,3.64,96.18,264.20,3.64
Slovakia,2011,10.40,217.30,209.40,10.40
Finland,2011,24.40,673.30,252.40,24.90
Sweden,2011,27.70,882.00,318.40,27.70
United Kingdom,2011,146.00,"6,016.00",423.00,146.00
Iceland,2011,0.50,7.20,,0.60
Liechtenstein,2011,,,,
Norway,2011,13.00,296.00,229.00,
Switzerland,2011,11.25,515.00,457.78,10.88
Montenegro,2011,1.29,21.22,165.00,1.29
Macedonia,2011,13.69,193.86,141.65,13.54
Albania,2011,9.50,230.10,,9.50
Serbia,2011,54.06,891.51,,
