Date,Merchant,Amount,Country,Category,Subcategory
05-01-16,SALLMANN YANG & ALAMEDA,243.75,United States,Business Services,Banking Services
06-01-16,ITUNES,1.99,United States,Merchandise & Supplies,Internet Purchase
07-01-16,BA.COM UK,545.01,United Kingdom,Travel,Airline
12-01-16,FITNESSKEEPER,39.99,United States,Merchandise & Supplies,Internet Purchase
20-01-16,AMAZON UK MARKETPLACE APE,20.78,Luxembourg,Merchandise & Supplies,Internet Purchase
21-01-16,AMAZON UK MARKETPLACE APE,106.65,Luxembourg,Merchandise & Supplies,Internet Purchase
21-01-16,AMAZON UK MARKETPLACE APE,109.40,Luxembourg,Merchandise & Supplies,Internet Purchase
21-01-16,NEW YORK ROAD RUNNERS CLUB,11.00,United States,Other,Charities
22-01-16,EASYJET,20.26,United Kingdom,Travel,Airline
22-01-16,EASYJET,63.86,United Kingdom,Travel,Airline
22-01-16,SCANDIC HAMBURG EMPORIO,21.08,Germany,Travel,Lodging
23-01-16,HILTON GRAND VAC CLUB,55.00,United States,Travel,Lodging
26-01-16,ITUNES,14.99,United States,Merchandise & Supplies,Internet Purchase
05-02-16,SKYPE,14.59,United Kingdom,Communications,Telephone Comm
13-02-16,HOLIDAY CLUB SPORT AND SPA,383.44,Sweden,Travel,Lodging
13-02-16,TIVOLI KROEN,111.96,Denmark,Restaurant,Restaurant
14-02-16,HOLIDAY CLUB SPORT AND SPA,155.54,Sweden,Travel,Lodging
15-02-16,FLYGTAXI,341.70,Sweden,Transportation,Taxis & Coach
15-02-16,RAUTJOXA,45.58,Sweden,Restaurant,Restaurant
16-02-16,ICA ARE,43.22,Sweden,Merchandise & Supplies,Groceries
16-02-16,IZETTLE SE,302.06,Sweden,Merchandise & Supplies,Internet Purchase
17-02-16,BROKEN,56.77,Sweden,Restaurant,Bar & Café
18-02-16,BROKEN,118.43,Sweden,Restaurant,Bar & Café
19-02-16,ICA ARE,20.95,Sweden,Merchandise & Supplies,Groceries
19-02-16,ICA ARE,23.85,Sweden,Merchandise & Supplies,Groceries
22-02-16,DELTA AIR LINES,1136.79,United Kingdom,Travel,Airline
22-02-16,FLYGTAXI,340.91,Sweden,Transportation,Taxis & Coach
26-02-16,UBER,45.78,Netherlands,Transportation,Taxis & Coach
03-03-16,ITUNES,1.29,United States,Merchandise & Supplies,Internet Purchase
04-03-16,ENTERPRISE EVENTS GRP,200.00,United States,Other,Miscellaneous
04-03-16,ENTERPRISE EVENTS GRP,295.00,United States,Other,Miscellaneous
06-03-16,HILTON SAN DIEGO BAYFRONT,303.23,United States,Travel,Lodging
08-03-16,NEW YORK ROAD RUNNERS CLUB,255.00,United States,Other,Charities
26-03-16,ITUNES,9.94,United States,Merchandise & Supplies,Internet Purchase
13-04-16,SOUTHWEST AIRLINES,5.60,United States,Travel,Airline
14-04-16,DELTA AIR LINES,238.76,United Kingdom,Travel,Airline
15-04-16,ITUNES,6.99,United States,Merchandise & Supplies,Internet Purchase
24-04-16,ITUNES,19.99,United States,Merchandise & Supplies,Internet Purchase
26-04-16,ITUNES,14.99,United States,Merchandise & Supplies,Internet Purchase
26-05-16,ITUNES,14.99,United States,Merchandise & Supplies,Internet Purchase
29-05-16,UBER,83.01,Netherlands,Transportation,Taxis & Coach
02-06-16,EURO DISNEY VACANCES,251.88,United Kingdom,Travel,Travel Agencies
03-06-16,UBER,69.03,Netherlands,Transportation,Taxis & Coach
05-06-16,UBER,45.53,United States,Transportation,Taxis & Coach
05-06-16,UBER,80.49,United States,Transportation,Taxis & Coach
07-06-16,DUNKIN DONUTS,15.00,United States,Restaurant,Bar & Café
