Industry,Employment share of total jobs (%),Job automation (% at potential high risk)
Wholesale and retail trade,0.148,0.440
Manufacturing,0.076,0.464
Administrative and support services,0.084,0.374
Transportation and storage,0.049,0.564
"Professional, scientific and technical",0.088,0.256
Human health and social work,0.124,0.170
Accommodation and food services,0.067,0.255
Construction,0.064,0.237
Public administration and defence,0.043,0.321
Information and communication,0.041,0.273
Financial and insurance,0.032,0.322
Education,0.087,0.085
Arts and entertainment,0.029,0.223
Other services,0.027,0.186
Real estate,0.017,0.282
"Water, sewage and waste management",0.006,0.626
"Agriculture, forestry and fishing",0.011,0.187
Electricity and gas supply,0.004,0.318
Mining and quarrying,0.002,0.231
Domestic personnel and self-subsistence,0.003,0.081
Total for all sectors,1.000,0.300
