Chemical Name,Measure Names,Measure Values
Zuclopenthixol Hydrochloride,Total Items,72833.00
Zuclopenthixol Decanoate,Total Items,34019.00
Zuclopenthixol Acetate,Total Items,183.00
Zopiclone,Total Items,5599878.00
Zonisamide,Total Items,121958.00
Zolpidem Tartrate,Total Items,725127.00
Zolmitriptan,Total Items,332247.00
Zoledronic Acid,Total Items,152.00
Ziprasidone Hydrochloride,Total Items,6.00
Zinc Sulfate Monohydrate,Total Items,28744.00
Zinc Sulfate,Total Items,14586.00
Zinc Paste & Ichthammol,Total Items,20.00
Zinc Paste,Total Items,7973.00
Zinc Oxide,Total Items,648299.00
Zinc Acetate,Total Items,414.00
Zidovudine,Total Items,6.00
Zanamivir,Total Items,91.00
Zaleplon,Total Items,1272.00
Zafirlukast,Total Items,35599.00
Yohimbine Hydrochloride,Total Items,20.00
Yellow Fever,Total Items,187.00
Xylometazoline Hydrochloride,Total Items,83158.00
Xipamide,Total Items,6099.00
Wound Management & Other Dressings,Total Items,5238064.00
Wool Fat Hydrous,Total Items,7567.00
Wool Fat,Total Items,35.00
Wool Alcohols,Total Items,73710.00
Wild Cherry Bark,Total Items,1.00
Water for Injection,Total Items,161169.00
Warfarin Sodium,Total Items,11506681.00
Vortioxetine,Total Items,49.00
Voriconazole,Total Items,792.00
Vitamins Caps,Total Items,628982.00
Vitamin E,Total Items,44742.00
Vitamin B Compound,Total Items,2390282.00
Vitamin B & C Injection,Total Items,1119.00
Vitamin A,Total Items,62435.00
Vildagliptin,Total Items,89565.00
Vigabatrin,Total Items,14309.00
Verapamil Hydrochloride,Total Items,773406.00
Venous Ulcer Compression System,Total Items,79303.00
Venlafaxine,Total Items,3575018.00
Varicella-Zoster Immunoglobulin,Total Items,13.00
Varicella Vaccine Live,Total Items,1181.00
Varenicline Tartrate,Total Items,514644.00
Vardenafil,Total Items,134173.00
Vandetanib,Total Items,1.00
Vancomycin Hydrochloride,Total Items,4613.00
Valsartan/Amlodipine,Total Items,27879.00
Valsartan with Diuretic,Total Items,89801.00
Valsartan,Total Items,537489.00
Valproic Acid,Total Items,600258.00
Valganciclovir Hydrochloride,Total Items,1157.00
