Skill,Country,Year,Rank
Algorithm Design,Australia,2015,13
Algorithm Design,Australia,2016,9
Business Intelligence,Australia,2014,6
Business Intelligence,Australia,2015,21
C/C++,Australia,2014,17
Channel Marketing,Australia,2015,19
Clinical Research and Trials,Australia,2015,24
Computer Graphics and Animation,Australia,2014,13
Corporate Law and Governance,Australia,2015,7
Corporate Law and Governance,Australia,2016,10
Data Engineering and Data Warehousing,Australia,2014,15
Data Engineering and Data Warehousing,Australia,2015,17
Database Management and Software,Australia,2014,24
Economics,Australia,2014,21
Electronic and Electrical Engineering,Australia,2015,23
Foreign Language Translation,Australia,2014,23
HR Benefits and Compensation,Australia,2014,16
HR Benefits and Compensation,Australia,2015,6
HR Benefits and Compensation,Australia,2016,4
Java Development,Australia,2014,11
Java Development,Australia,2015,11
"Mac, Linux and Unix Systems",Australia,2014,22
"Mac, Linux and Unix Systems",Australia,2015,14
Marketing Campaign Management,Australia,2014,19
Marketing Campaign Management,Australia,2015,15
Middleware and Integration Software,Australia,2014,2
Middleware and Integration Software,Australia,2015,2
Middleware and Integration Software,Australia,2016,3
Mobile Development,Australia,2014,7
Mobile Development,Australia,2015,5
Mobile Development,Australia,2016,6
Network and Information Security,Australia,2014,9
Network and Information Security,Australia,2015,4
Network and Information Security,Australia,2016,5
"Non-Profit, Fundraising, and Grantmaking",Australia,2014,12
Perl/Python/Ruby,Australia,2014,8
Perl/Python/Ruby,Australia,2015,10
Public Policy and International Relations,Australia,2015,22
Recruiting,Australia,2014,10
Recruiting,Australia,2015,20
SAP ERP Systems,Australia,2014,3
SAP ERP Systems,Australia,2015,12
SEO/SEM Marketing,Australia,2014,5
SEO/SEM Marketing,Australia,2015,3
SEO/SEM Marketing,Australia,2016,2
Shell Scripting Languages,Australia,2015,25
Social Media Marketing,Australia,2014,25
Software QA and User Testing,Australia,2014,20
Software QA and User Testing,Australia,2015,18
Statistical Analysis and Data Mining,Australia,2014,1
