ferry,card,01 Jul 16,01 Aug 16,01 Sep 16,01 Oct 16,01 Nov 16,01 Dec 16,01 Jan 17,01 Feb 17
F1 Manly,Adult,234987,243181,250792,302524,313363,385500,437077,311624
F1 Manly,Child/Youth,33714,23633,31397,40777,23931,55904,83388,20435
F1 Manly,Concession,8746,10683,9944,10522,10598,10856,10894,9121
F1 Manly,Employee,1557,1544,1734,2009,1987,2170,2406,1846
F1 Manly,Free Travel,414,515,648,745,757,718,833,663
F1 Manly,School Student,159,403,220,264,367,99,17,361
F1 Manly,Senior/Pensioner,48427,52013,55319,64585,65364,66705,82368,60910
F1 Manly,Sgl Trip Ferry Adult,4995,20516,23229,26599,30634,16067,39245,30670
F1 Manly,Sgl Trip Ferry Child/Youth,1047,3677,4060,3794,2424,2492,8852,2428
F2 Taronga Zoo,Adult,66304,68740,67716,78309,73155,92896,100678,64035
F2 Taronga Zoo,Child/Youth,16806,13039,16189,16168,10664,18658,26161,6961
F2 Taronga Zoo,Concession,2555,2152,2130,2042,2071,2450,2578,2006
F2 Taronga Zoo,Employee,315,309,269,353,364,320,352,252
F2 Taronga Zoo,Free Travel,82,102,102,129,141,133,93,110
F2 Taronga Zoo,School Student,13,38,30,11,33,6,1,10
F2 Taronga Zoo,Senior/Pensioner,9214,9150,9800,11396,10258,10135,12802,8585
F2 Taronga Zoo,Sgl Trip Ferry Adult,645,3291,4115,4034,3968,3267,6571,4536
F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,182,851,1282,871,607,776,2031,621
F3 Parramatta River,Adult,161188,173488,172138,184509,198909,205434,229336,173439
F3 Parramatta River,Child/Youth,20263,16068,19812,23661,16371,24688,39369,10535
F3 Parramatta River,Concession,3791,3798,4986,3846,4338,5235,5868,4519
F3 Parramatta River,Employee,843,929,995,1009,1090,1110,1087,828
F3 Parramatta River,Free Travel,289,335,318,375,435,374,377,282
F3 Parramatta River,School Student,326,786,587,467,602,178,40,542
F3 Parramatta River,Senior/Pensioner,31458,33078,35184,39388,41978,37670,44434,34279
F3 Parramatta River,Sgl Trip Ferry Adult,1521,6054,7224,8264,8441,7184,11673,7659
F3 Parramatta River,Sgl Trip Ferry Child/Youth,469,1388,2129,1956,1191,1775,4171,1042
F4 Darling Harbour,Adult,97204,93717,97187,107760,113919,136750,159107,105426
F4 Darling Harbour,Child/Youth,22970,15529,19293,21967,13622,24015,38868,8507
F4 Darling Harbour,Concession,2684,2273,2192,2178,2530,2988,3369,2397
F4 Darling Harbour,Employee,625,595,654,735,717,761,762,563
F4 Darling Harbour,Free Travel,164,199,224,269,301,275,333,208
F4 Darling Harbour,School Student,117,239,182,167,215,54,14,193
F4 Darling Harbour,Senior/Pensioner,18520,17720,19580,23982,23599,23267,30948,19651
F4 Darling Harbour,Sgl Trip Ferry Adult,1219,6100,7470,8438,8532,6329,11861,8155
F4 Darling Harbour,Sgl Trip Ferry Child/Youth,399,1480,2291,1920,1143,1450,4128,1043
F5 Neutral Bay,Adult,31372,32253,32344,33508,38009,38147,38251,36143
F5 Neutral Bay,Child/Youth,2052,1388,1893,1807,1240,2488,3179,1230
F5 Neutral Bay,Concession,795,977,1005,959,1033,1052,944,1026
F5 Neutral Bay,Employee,193,240,253,199,266,208,149,188
F5 Neutral Bay,Free Travel,29,56,63,65,79,82,75,70
F5 Neutral Bay,School Student,13,39,17,28,38,1,1,32
F5 Neutral Bay,Senior/Pensioner,8289,8831,8695,9415,10757,9617,9693,9059
F5 Neutral Bay,Sgl Trip Ferry Adult,409,792,913,1025,1297,850,1248,979
F5 Neutral Bay,Sgl Trip Ferry Child/Youth,90,138,209,199,150,164,318,126
F6 Mosman Bay,Adult,45811,51300,51276,51739,58026,57007,56035,54723
F6 Mosman Bay,Child/Youth,3554,2719,2993,3127,2394,4980,5760,2093
F6 Mosman Bay,Concession,1715,2322,1894,1770,1706,1698,1425,1823
F6 Mosman Bay,Employee,358,393,412,371,469,434,331,328
F6 Mosman Bay,Free Travel,54,97,103,114,118,131,79,122
F6 Mosman Bay,School Student,35,84,50,52,81,17,3,68
F6 Mosman Bay,Senior/Pensioner,11666,12523,12591,13359,14755,13794,13190,13079
F6 Mosman Bay,Sgl Trip Ferry Adult,413,844,1079,1145,1345,1104,1705,1192
F6 Mosman Bay,Sgl Trip Ferry Child/Youth,129,181,287,227,183,220,513,143
F7 Eastern Suburbs,Adult,81612,90254,88309,98764,110497,109604,120787,97969
F7 Eastern Suburbs,Child/Youth,7485,6131,6217,7313,5217,9037,14044,4434
F7 Eastern Suburbs,Concession,1899,2015,1989,1862,2471,2719,2618,1989
F7 Eastern Suburbs,Employee,349,459,397,455,573,564,482,405
F7 Eastern Suburbs,Free Travel,111,196,146,176,194,184,212,150
F7 Eastern Suburbs,School Student,64,147,99,72,111,28,9,78
F7 Eastern Suburbs,Senior/Pensioner,13799,16363,14674,16251,18886,16249,18805,15372
F7 Eastern Suburbs,Sgl Trip Ferry Adult,889,2407,3297,3684,4216,2836,4328,2985
F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,259,455,641,587,429,497,1158,297
