Brand,Count of Number of Records
A.C.,4
A.M. GENERAL,6
A.M.C.,4
ABARTH,1
ACURA,1
ADLER,1
ADRIA,7
ADRIA MOBIL,13
ALFA ROMEO,4426
ALKO,6
ALLARD,1
ALPINA,20
ALPINE-RENAULT,33
ALVIS,9
AMBERGER ECHING,1
AMC JEEP,1
AMERICAN CUSTOM COACHWORK,1
AMERICAN LA FRANCE,1
AMERICAN MOTORS,21
AMILCAR,2
AMPHICAR,4
ANSALDO,1
ARIEL,1
ARMSTRONG SIDDELEY,7
ASIA,2
ASTON-MARTIN,107
ASVE,1
AUBURN,2
AUDI,28301
AUDI/PORSCHE,3
AUSTIN,196
AUSTIN-HEALEY,25
AUTO BIANCHI,31
AUTO UNION,808
AUTOSTAR,1
AVANTE,1
B.M.C.,1
BANHAM,2
BARKAS,5
BEAN,1
BEARDMORE,1
BEDFORD,7
BENIMAR,1
BENTLEY,128
BERTONE,12
BITTER,5
BLAUGAM,2
BMW,25677
BMW I,111
BOHSE,1
BOMBARDIER,1
BOONACKER,3
BORGWARD,12
BOSMAL,4
BOVA,1
BRADLEY,1
BRICKLIN,1
BRISTOL,2
BUERSTNER,19
BUGATTI,3
BUICK,147
BYD,4
CADILLAC,346
CAPRON,8
CAR CRAFT,1
CARBODIES,2
CARTHAGO,17
CATERHAM,3
CBT,6
CCCARS,1
CHALLANGER,1
CHALLENGER,7
CHAUSSON,8
CHECKER,2
CHENARD & WALCKER,1
CHEVROLET,2251
CHEVROLET DAEWOO,1
CHEVROLET-AIRSTREAM,2
CHEVROLET-COBRA,1
CHEVROLET-HOP CAP,2
CHEVROLET-JAMBOREE,1
CHEVROLET-WINNEBAGO,1
CHRYSLER,3049
CI,1
CITROEN,14918
CITY-VAN,1
CLASSIC ROADSTERS,1
CLENET,4
CMC,2
COLLINS,1
CONCORDE,10
CONCORDE REISEMOBILE GMBH,4
CONTINENTAL,1
CORVAIR,1
CROSLEY,1
D.K.W.,11
DACIA,611
DAEWOO,902
DAF,51
DAIHATSU,900
DAIMLER,127
DAIMLER BENZ,5
DAIMLERCHRYSLER AG,5
DATSUN,67
DAX,7
DAX COBRA,6
DAX COBRA REPLICA,2
DE DION BOUTON,1
DE LOREAN,9
DE SOTO,10
DE TOMASO,5
DELAGE,1
DELAHAYE,1
DETHLEFFS,27
DODGE,362
DODGE-BENDIX,1
DODGE-COUNTRY SQUIRE,1
DODGE-MIDAS,1
DONKERVOORT(JD),19
DORT,1
DS,1
DUTTON,5
E.B.S.,2
EDSEL,5
EIGENBOUW,3
ELNAGH,5
EMC ELDORADO,1
EURA MOBIL,13
EUREKA,3
EXCALIBUR,10
EXECUTIVE COACH BUILDERS,1
FACEL VEGA,6
FALCON,1
FENDT,1
FERRARI,248
FIAT,5734
FISKER,54
FLEETWOOD,1
FLEURETTE,1
FORD,27530
FORD-CNG-TECHNIK,13
FORD-SHASTA,1
FORMULA,1
FORMULA 27,1
FRANKIA,5
FRANKLIN,1
FRAZER NASH,1
FSM,3
FSO,1
FUNKE & WILL  AG,1
G.M.C.,48
GALLOPER,5
GANSCHOW-DUISBURG,1
GAS,1
GAZ,2
GENERAL MOTORS-GMC,1
GES GFG,1
GINETTA,1
GIOTTILINE,2
GLAS,1
GMC-EMPRESS,2
GMC-MIDAS,2
GOGGOMOBIL,8
GORDON KEEBLE,1
HANOMAG-HENSCHEL,4
HARTGE,1
HAWK,1
HEALEY,3
HERITAGE,1
HILLMAN,4
HISPANO SUIZA,1
HOBBY,5
HOME CAR,2
HONDA,4591
HORCH,1
HOTCHKISS,4
HUDSON,3
HUISKAMP,5
HUMBER,4
HUMMER,21
HUPMOBILE,1
HYMER,51
HYUNDAI,10347
I.F.A.,1
I.V.R.,1
IAV,1
IIC,1
IMPERIA,1
IMPERIAL,2
INFINITI,137
INNOCENTI,4
INTERMECCANICA,1
INTERNATIONAL,3
ISO GRIFO,1
ISO RIVOLTA,1
ISOTTA-FRASCHINI,1
ISUZU,9
ITINEO,1
IVECO,35
IWK,1
J.B.A.,2
JAGUAR,1451
JAGUAR CARS,269
JAGUAR LAND ROVER,18
JC MIDGE,1
JEEP,1329
JENSEN,20
JIANGLING,18
JOINT,1
KAIPAN,2
KAISER,8
KARMANN MOBIL,4
KIA,9197
KIA MOTORS,10
KIAMASTER,3
KNAUS,14
KOENIGSEGG,1
KOUGAR,1
L.T.I.CARBODIES,2
LA SALLE,1
LA STRADA,2
LADA,19
LADA-VAZ,12
LAGONDA,2
LAIKA,1
LAIKA CARAVANS S.P.A.,2
LAMBORGHINI,29
LANCIA,621
LAND ROVER,3088
LANDWIND,2
LEA FRANCIS,1
LEXUS,2531
LEYLAND,1
LIGIER,2
LINCOLN,95
LION PEUGEOT,1
LLOYD,1
LMC,3
LOMAX,1
LORRAINE DIETRICH,1
LOTUS,95
M.A.N.,8
MAHINDRA,4
MAN MECCANICA,1
MARCOS,2
MARLIN,1
MASERATI,173
MATHIS,1
MATRA,29
MATRA SPORTS,4
MAX,1
MAYBACH,2
MAZDA,8984
MC LAREN,6
MC LOUIS,2
MC LOUIS SPA,4
MEGA,6
MERCEDES-AMG,59
MERCEDES-BENZ,28131
MERCURY,61
MERLIN,1
MESSERSCHMITT,1
MG,941
MIA,4
MICRO COMPACT CAR,74
MICRO COMPACT CAR SMART,433
MINERVA,2
MINI,1150
MITSUBISHI,7058
MK INDY,3
MOLONEY,2
MONACO,1
MONARCH,1
MONCAYO,3
